StockCode,Description
90014A,"<ArrowStringArray>
['SILVER/MOP ORBIT NECKLACE', 'SILVER M.O.P. ORBIT NECKLACE']
Length: 2, dtype: str"
90014B,"<ArrowStringArray>
['GOLD M PEARL  ORBIT NECKLACE', 'GOLD M.O.P. ORBIT NECKLACE']
Length: 2, dtype: str"
90014C,"<ArrowStringArray>
['SILVER/BLACK ORBIT NECKLACE', 'SILVER AND BLACK ORBIT NECKLACE']
Length: 2, dtype: str"
90042C,"<ArrowStringArray>
[nan, 'FRESHWATER PEARL BRACELET IVORY']
Length: 2, dtype: str"
90082B,"<ArrowStringArray>
['DIAMANTE BOW BROOCH RED COLOUR', nan]
Length: 2, dtype: str"
90084,"<ArrowStringArray>
['PINK CRYSTAL GUITAR PHONE CHARM', nan]
Length: 2, dtype: str"
90104,"<ArrowStringArray>
['PURPLE FRANGIPANI HAIRCLIP', nan]
Length: 2, dtype: str"
90112,"<ArrowStringArray>
['PINK DOLLY HAIR CLIPS', nan]
Length: 2, dtype: str"
90167,"<ArrowStringArray>
['BEADED LOVE HEART JEWELLERY SET', nan]
Length: 2, dtype: str"
90200C,"<ArrowStringArray>
['BLUE SWEETHEART BRACELET', nan]
Length: 2, dtype: str"
90209B,"<ArrowStringArray>
['GREEN ENAMEL+GLASS HAIR COMB', nan]
Length: 2, dtype: str"
90209C,"<ArrowStringArray>
['PINK ENAMEL+GLASS HAIR COMB', nan]
Length: 2, dtype: str"
C2,"<ArrowStringArray>
['CARRIAGE', nan]
Length: 2, dtype: str"
DOT,"<ArrowStringArray>
['DOTCOM POSTAGE', nan]
Length: 2, dtype: str"
POST,"<ArrowStringArray>
['POSTAGE', nan]
Length: 2, dtype: str"
gift_0001_10,"<ArrowStringArray>
['DOTCOMGIFTSHOP GIFT VOUCHER £10.00', nan]
Length: 2, dtype: str"
gift_0001_20,"<ArrowStringArray>
['DOTCOMGIFTSHOP GIFT VOUCHER £20.00', 'TO PUSH ORDER THROUGHA S STOCK WAS']
Length: 2, dtype: str"
gift_0001_30,"<ArrowStringArray>
['DOTCOMGIFTSHOP GIFT VOUCHER £30.00', nan]
Length: 2, dtype: str"
